"HolderAddress","TotalQuantity"
"0x0c415603f88ddcac90a2a9b9c99b27edb6e79e97","12"
"0x5fd19667728cb5d6410fd392ac4cf898b604333a","12"
"0x919a957a54d0688690722bfd3ad4e71b030fd6fb","12"
"0x9e9466f6e8dda33a00917461f71cef1bf12f2dca","12"
"0x5cee202b51518b0e4675bbe129f6c9776f4417df","12"
"0xdabedbfe4b6f6fc6f238feb4d2e42ffe6069506a","11"
"0x549ccfafaf2b331e28f55691bd013ddf938cbe3f","11"
"0xfc465631ac105754b34ce9e6f40fe414b1c46ae6","11"
"0x4b92e3a106eeb7e3eaf3239825353bb845c82bf2","11"
"0x9c06e8358a229e4bdc59cdc2b89c0cb430107fba","11"
"0x6ede5522b1c7773e2e5482e52a6bf75ff3b70597","11"
"0xc469b48b1555f34426ea980d6cee472c4121961c","11"
"0x254f56664a27fdcfa50ced057f0f6788d1f8d43b","11"
"0x1341df844780b66af4ccc98ae0f34be87eabe1d5","10"
"0x7be8ac53f9943e0e447b1959e4f515be266226be","10"
"0xf1f20a151e8500c212c34e08fbe0cc536bc188cc","10"
"0xf24cfdfa140cb95d7e9c5792ef65f4020c05482f","10"
"0xe8fe3d13650fa2c46fdfcf04f2764576fea0811f","10"
"0x1c7c74d4f1b588c908bf91a0e4ce85a8a7eb1a79","10"
"0xf4939d1cbc67e48e9fa3ac3e0b912d24bc2be6d3","10"
"0x6501dba8615f6e0b5625acb3e7472631bfa186d7","10"
"0xcddc0759d8fe66dada09708d3afc36929e07402b","10"
"0x1b0a399c778b857285995de4fcce44000f263d33","10"
"0x2a0943057a4414d481742abb46709d61e162f62e","10"
"0xc7d413cd09e7143ebe6a898f7871bf97a9534d1d","10"
"0x5a37762c5687e67bb6db2a9d1402e9eee8399cd8","10"
"0x99f1916d69f6d9862737e49eca3bfb34907a0d9b","10"
"0x2b786bd7af48d41263388c63e6613dfe9c6a27e1","10"
"0x3db66df148787810cd9a14d0d891337e86f8f7c4","10"
"0xc0421789f0803e99736620d2fe9e4de42b9de057","10"
"0xe3f51d643f8a47bab1f7769729519679ce8876ff","10"
"0xcdedcee9c46284667997eb4d29f8427b696da3df","10"
"0x534c07b155f9add1a95e268d1d0ff56fe429857c","10"
"0x76a2b64876bcaf9a853c3d0fdb8fee5bc670c559","10"
"0x6581e989c48b9fb70cbaa5f887cee4285db054ad","10"
"0x14df332f3d7ebec8bffe083e174cd6dee5da9c2d","9"
"0x6fe49ac54f6a1f37c728419d3f4dbf0906e104a6","9"
"0x5e7c7115207d4627da7aa6a3c05a57bbf527d18c","9"
"0xe822ecac55a3a20bb4b24cdd83401eaa73dd3bb4","9"
"0x98566fd31a67df02e2f349eaff889e377229c4f5","9"
"0x642fc29f86cd9a582cf27befbffac3373f623a56","9"
"0x69a60ff8e7e6beecf11253867551fea9018075a5","9"
"0xd188835a0f389f5f6f18da37022343e36e4c3f50","9"
"0x0df506a50efd7880aaa69238af93195c4835105d","9"
"0xa5e6b798ed48c6e7b5b13eadbd6314c639e27253","9"
"0xb696d48ef52670cdfc719259d0e1bff994bcabde","9"
"0xc8f20b76e532a534d4849bdb8a27b96d7ada41ce","9"
"0xfb44496ef7ce7dc94da1ec9f45115c80bba1778d","9"
